bohrs, E_s, E_t, SOC_Real, SOC_Imag
1.0000000000000000, 0.64327831269239522E-1, 0.38940039153570244, 0.50000000000000001E-3, 0.10000000000000000E-2
1.1000000000000001, 0.63491085639377873E-1, 0.37978606161248424, 0.50000000000000001E-3, 0.10000000000000000E-2
1.2000000000000002, 0.62683119527153608E-1, 0.37040911034085894, 0.50000000000000001E-3, 0.10000000000000000E-2
1.3000000000000003, 0.61902943073037293E-1, 0.36126367682103605, 0.50000000000000001E-3, 0.10000000000000000E-2
1.4000000000000004, 0.61149600463305961E-1, 0.35234404485935666, 0.50000000000000001E-3, 0.10000000000000000E-2
1.5000000000000004, 0.60422168759051771E-1, 0.34364463939548606, 0.50000000000000001E-3, 0.10000000000000000E-2
1.6000000000000005, 0.59719756765466453E-1, 0.33516002301781961, 0.50000000000000001E-3, 0.10000000000000000E-2
1.7000000000000006, 0.59041503940016199E-1, 0.32688489256492359, 0.50000000000000001E-3, 0.10000000000000000E-2
1.8000000000000007, 0.58386579338169431E-1, 0.31881407581088661, 0.50000000000000001E-3, 0.10000000000000000E-2
1.9000000000000008, 0.57754180595385868E-1, 0.31094252823250995, 0.50000000000000001E-3, 0.10000000000000000E-2
2.0000000000000009, 0.57143532944119578E-1, 0.30326532985631666, 0.50000000000000001E-3, 0.10000000000000000E-2
2.1000000000000010, 0.56553888264631889E-1, 0.29577768218340744, 0.50000000000000001E-3, 0.10000000000000000E-2
2.2000000000000011, 0.55984524168451122E-1, 0.28847490519024327, 0.50000000000000001E-3, 0.10000000000000000E-2
2.3000000000000012, 0.55434743113356374E-1, 0.28135243440347779, 0.50000000000000001E-3, 0.10000000000000000E-2
2.4000000000000012, 0.54903871548801088E-1, 0.27440581804701314, 0.50000000000000001E-3, 0.10000000000000000E-2
2.5000000000000013, 0.54391259090729380E-1, 0.26763071425949503, 0.50000000000000001E-3, 0.10000000000000000E-2
2.6000000000000014, 0.53896277724774226E-1, 0.26102288838050791, 0.50000000000000001E-3, 0.10000000000000000E-2
2.7000000000000015, 0.53418321036861366E-1, 0.25457821030377448, 0.50000000000000001E-3, 0.10000000000000000E-2
2.8000000000000016, 0.52956803470276183E-1, 0.24829265189570465, 0.50000000000000001E-3, 0.10000000000000000E-2
2.9000000000000017, 0.52511159608283509E-1, 0.24216228447768112, 0.50000000000000001E-3, 0.10000000000000000E-2
3.0000000000000018, 0.52080843481421453E-1, 0.23618327637050726, 0.50000000000000001E-3, 0.10000000000000000E-2
3.1000000000000019, 0.51665327898620467E-1, 0.23035189049948279, 0.50000000000000001E-3, 0.10000000000000000E-2
